n,z,density
64,1.3600000000000003,0.16124999999999987
64,1.5200000000000005,0.1259374999999999
64,1.6800000000000002,0.09874999999999992
64,1.8399999999999999,0.07624999999999993
64,2.0,0.06374999999999995
64,2.16,0.03562499999999997
64,2.3200000000000003,0.02468749999999998
64,2.4800000000000004,0.017499999999999984
64,2.64,0.01093749999999999
64,2.8,0.008437499999999994
64,2.96,0.004374999999999996
64,3.12,0.001249999999999999
64,3.2800000000000002,0.0015624999999999986
64,3.4400000000000004,0.00031249999999999974
64,3.6,0.0009374999999999992
64,3.76,0.0
64,3.92,0.0
128,-3.92,0.0
128,-3.76,0.0
128,-3.6,0.0009374999999999992
128,-3.44,0.00031249999999999974
128,-3.2800000000000002,0.0006249999999999995
128,-3.12,0.004999999999999996
128,-2.96,0.004999999999999996
128,-2.8,0.008749999999999992
128,-2.6399999999999997,0.014999999999999987
128,-2.48,0.016562499999999987
128,-2.3200000000000003,0.02437499999999998
128,-2.16,0.03593749999999997
128,-2.0,0.05374999999999996
128,-1.8399999999999999,0.07093749999999995
128,-1.68,0.09437499999999992
128,-1.52,0.1178124999999999
128,-1.3599999999999999,0.17687499999999984
128,-1.2,0.19531249999999983
128,-1.04,0.2281249999999998
128,-0.8799999999999999,0.2787499999999998
128,-0.72,0.31218749999999973
128,-0.56,0.3231249999999997
128,-0.3999999999999999,0.37562499999999965
128,-0.24,0.3765624999999997
128,-0.08000000000000007,0.3865624999999997
128,0.08000000000000007,0.40468749999999964
128,0.2400000000000002,0.3874999999999997
128,0.40000000000000036,0.3634374999999997
128,0.56,0.3359374999999997
128,0.7199999999999998,0.3071874999999997
128,0.8799999999999999,0.27937499999999976
128,1.04,0.2256249999999998
128,1.2000000000000002,0.20374999999999982
128,1.3600000000000003,0.16093749999999987
128,1.5200000000000005,0.1212499999999999
128,1.6800000000000002,0.1099999999999999
128,1.8399999999999999,0.08124999999999993
128,2.0,0.04906249999999996
128,2.16,0.03781249999999997
128,2.3200000000000003,0.026249999999999978
128,2.4800000000000004,0.017499999999999984
128,2.64,0.01343749999999999
128,2.8,0.007499999999999994
128,2.96,0.004687499999999996
128,3.12,0.0028124999999999977
128,3.2800000000000002,0.003124999999999997
128,3.4400000000000004,0.002187499999999998
128,3.6,0.0009374999999999992
128,3.76,0.0
128,3.92,0.00031249999999999974
256,-3.92,0.00031249999999999974
256,-3.76,0.0
256,-3.6,0.0009374999999999992
256,-3.44,0.0009374999999999992
256,-3.2800000000000002,0.001249999999999999
256,-3.12,0.004062499999999997
256,-2.96,0.004374999999999996
