x,lam
10.786967418546364,2.618045112781955
10.827067669172932,2.6240601503759398
10.867167919799499,2.6300751879699247
10.907268170426065,2.6360902255639096
10.94736842105263,2.6421052631578945
10.987468671679197,2.64812030075188
11.027568922305765,2.6541353383458643
11.06766917293233,2.6601503759398497
11.107769423558896,2.666165413533834
11.147869674185463,2.6721804511278195
11.18796992481203,2.6781954887218045
11.228070175438596,2.6842105263157894
11.268170426065161,2.690225563909774
11.308270676691729,2.696240601503759
11.348370927318296,2.7022556390977446
11.388471177944862,2.708270676691729
11.428571428571427,2.714285714285714
11.468671679197994,2.720300751879699
11.508771929824562,2.7263157894736842
11.548872180451127,2.7323308270676687
11.588972431077693,2.738345864661654
11.62907268170426,2.744360902255639
11.669172932330827,2.750375939849624
11.709273182957393,2.756390977443609
11.749373433583958,2.7624060150375938
11.789473684210526,2.768421052631579
11.829573934837093,2.7744360902255636
11.869674185463658,2.780451127819549
11.909774436090224,2.7864661654135334
11.949874686716791,2.792481203007519
11.989974937343359,2.7984962406015037
12.030075187969924,2.8045112781954886
12.07017543859649,2.810526315789473
12.110275689223057,2.8165413533834585
12.150375939849624,2.822556390977444
12.19047619047619,2.8285714285714283
12.230576441102755,2.834586466165413
12.270676691729323,2.840601503759398
12.31077694235589,2.8466165413533835
12.350877192982455,2.852631578947368
12.390977443609021,2.8586466165413533
12.431077694235588,2.8646616541353382
12.471177944862156,2.870676691729323
12.511278195488721,2.876691729323308
12.551378446115287,2.882706766917293
12.591478696741854,2.888721804511278
12.631578947368421,2.894736842105263
12.671679197994987,2.900751879699248
12.711779448621552,2.9067669172932327
12.75187969924812,2.912781954887218
12.791979949874687,2.918796992481203
12.832080200501252,2.924812030075188
12.872180451127818,2.9308270676691723
12.912280701754385,2.9368421052631577
12.952380952380953,2.942857142857143
12.992481203007518,2.9488721804511275
13.032581453634084,2.9548872180451125
13.072681704260651,2.9609022556390974
13.112781954887218,2.9669172932330827
13.152882205513784,2.972932330827067
13.19298245614035,2.9789473684210526
13.233082706766917,2.9849624060150375
13.273182957393484,2.9909774436090224
13.31328320802005,2.9969924812030073
13.353383458646615,3.0030075187969922
13.393483709273182,3.009022556390977
13.43358395989975,3.0150375939849625
13.473684210526315,3.021052631578947
13.51378446115288,3.027067669172932
13.553884711779448,3.0330827067669173
13.593984962406015,3.039097744360902
13.63408521303258,3.045112781954887
13.674185463659146,3.051127819548872
13.714285714285714,3.057142857142857
13.75438596491228,3.063157894736842
13.794486215538846,3.0691729323308268
13.834586466165412,3.0751879699248117
13.87468671679198,3.0812030075187966
13.914786967418546,3.087218045112782
13.954887218045112,3.093233082706767
13.994987468671678,3.0992481203007514
14.035087719298245,3.1052631578947367
14.075187969924812,3.1112781954887216
14.115288220551378,3.1172932330827066
14.155388471177943,3.1233082706766915
14.19548872180451,3.1293233082706764
14.235588972431078,3.1353383458646618
14.275689223057643,3.1413533834586462
14.315789473684209,3.147368421052631
14.355889724310776,3.1533834586466165
14.395989974937343,3.1593984962406014
14.436090225563909,3.1654135338345863
14.476190476190474,3.1714285714285713
14.516290726817042,3.177443609022556
14.556390977443609,3.183458646616541
14.596491228070175,3.189473684210526
14.63659147869674,3.195488721804511
14.676691729323307,3.201503759398496
14.716791979949875,3.207518796992481
14.75689223057644,3.213533834586466
14.796992481203006,3.2195488721804506
14.837092731829573,3.225563909774436
14.87719298245614,3.231578947368421
14.917293233082706,3.237593984962406
14.957393483709271,3.2436090225563907
14.997493734335839,3.2496240601503756
15.037593984962406,3.255639097744361
15.077694235588972,3.2616541353383455
15.117794486215537,3.2676691729323304
15.157894736842104,3.2736842105263158
15.197994987468672,3.2796992481203007
15.238095238095237,3.2857142857142856
15.278195488721803,3.2917293233082705
15.31829573934837,3.2977443609022554
15.358395989974937,3.3037593984962403
15.398496240601503,3.3097744360902253
15.438596491228068,3.31578947368421
15.478696741854636,3.321804511278195
15.518796992481203,3.3278195488721805
15.558897243107769,3.3338345864661654
15.598997493734334,3.33984962406015
15.639097744360901,3.345864661654135
15.679197994987469,3.35187969924812
15.719298245614034,3.357894736842105
15.7593984962406,3.36390977443609
15.799498746867167,3.369924812030075
15.839598997493734,3.3759398496240602
15.8796992481203,3.3819548872180447
15.919799498746865,3.3879699248120296
15.959899749373433,3.393984962406015
16.0,3.4
