t,mean,sd,band
0.078,0.0005083075333799661,0.29594430705812913,0.2792848008753788
0.08,-0.003930393384117559,0.30436647947328865,0.282842712474619
0.082,-0.006456077604005291,0.3044547707975998,0.2863564212655271
0.084,0.001011703889712253,0.3021789824188332,0.28982753492378877
0.08600000000000001,0.005410480904253088,0.3045236650369592,0.2932575659723036
0.088,0.009453286995887267,0.29776400846213114,0.2966479394838265
0.09,0.011444763615417759,0.3025144426519056,0.3
0.092,0.0036339822985234907,0.3099112181454703,0.30331501776206204
0.094,0.001955138938907219,0.30703495995598945,0.3065941943351178
0.096,0.0010393942951512603,0.31892889518992285,0.30983866769659335
0.098,0.0079380822272985,0.32092196226846703,0.31304951684997057
0.1,0.012743062290604587,0.3410463992053939,0.31622776601683794
0.10200000000000001,0.015169035929044316,0.3392083853537005,0.31937438845342625
0.10400000000000001,0.012573806948032342,0.3522683685993485,0.322490309931942
0.106,0.017981436235872287,0.35230759003303597,0.3255764119219941
0.108,0.009049599227555216,0.35277927596716063,0.3286335345030997
0.11,0.01943601658556336,0.36653840046320274,0.33166247903553997
0.112,0.01993472360589723,0.36281762817294705,0.3346640106136302
0.114,0.028225333963934472,0.37586988159971335,0.33763886032268264
0.116,0.02016727382586263,0.3797003312888124,0.34058772731852804
0.11800000000000001,0.01776074513234488,0.3864224218224805,0.3435112807463534
0.12,0.01827123923728041,0.4026051227363822,0.34641016151377546
0.122,0.01499492864349499,0.41418757126528427,0.3492849839314596
0.124,0.010567312029692825,0.40928625914915406,0.35213633723318016
0.126,0.013962002326583216,0.41322009258362885,0.35496478698597694
0.128,0.005588341114032429,0.4173131338156975,0.35777087639996635
0.13,0.002866758634821515,0.418771226853095,0.36055512754639896
0.132,0.0041642515099254195,0.4267764665757215,0.363318042491699
0.134,0.012516045932575182,0.4212170581282854,0.36606010435446257
0.136,0.013910017887027207,0.42771871787887505,0.3687817782917155
0.138,0.021069402737252,0.4291070627521007,0.3714835124201342
0.14,0.031561528088510885,0.4286022101197777,0.37416573867739417
0.14200000000000002,0.027159121900445907,0.4358044057791125,0.37682887362833545
0.14400000000000002,0.023048078338935827,0.4424030590413284,0.37947331922020555
0.146,0.022868265436090832,0.4539276592601348,0.382099463490856
0.148,0.0293405765393663,0.44913235961783027,0.3847076812334269
0.15,0.022909246432431963,0.4635000814731379,0.3872983346207417
0.152,0.013921818244131667,0.473168324980502,0.38987177379235854
0.154,0.014097838146318249,0.477373005988803,0.3924283374069717
0.156,0.016209801465401026,0.48077814274012975,0.39496835316262996
0.158,0.013241582615848898,0.4799745961576615,0.39749213828703583
0.16,0.008306191100702194,0.48778063008000483,0.4
0.162,0.013909000555394272,0.487835012791914,0.40249223594996214
0.164,0.005728700537295356,0.4995571039243131,0.4049691346263318
0.166,0.00021956226208300853,0.49262911795016506,0.4074309757492673
0.168,-0.0036794574467627164,0.49980717702786376,0.40987803063838396
0.17,-0.008552703357822745,0.5027591680442527,0.41231056256176607
0.17200000000000001,-0.008706060112028105,0.5010012592471395,0.41472882706655445
0.17400000000000002,-0.005883244481671566,0.5051596911666432,0.41713307229228425
0.176,-0.010232184671933715,0.5053605283664784,0.41952353926806063
0.178,-0.019669369122344512,0.5085369004820183,0.4219004621945797
0.18,-0.016676713147884423,0.512589769128859,0.4242640687119285
0.182,-0.014963897628100409,0.5178945224152812,0.4266145801540308
0.184,-0.011502708874188583,0.5242603503426845,0.4289522117905443
0.186,-0.01441890545289744,0.5209709631154288,0.4312771730569565
0.188,-0.012037722468232327,0.5274677265976914,0.433589667773576
0.19,-0.020061632374767695,0.5292590371397221,0.43588989435406733
0.192,-0.02055484383302031,0.5309996700088216,0.4381780460041329
0.194,-0.02155242920196462,0.5308137177793283,0.4404543109109048
0.196,-0.015674786043114057,0.5358262977589376,0.4427188724235731
0.198,-0.034399446603883096,0.5373540949752504,0.4449719092257398
0.2,-0.03668889249881415,0.5412990686050507,0.4472135954999579
0.202,-0.037374824788063914,0.5332095687058587,0.44944410108488464
0.20400000000000001,-0.03888378043863291,0.5435231373714672,0.4516635916254486
0.20600000000000002,-0.038698841516981955,0.5358763580817587,0.4538722287164087
0.20800000000000002,-0.03134224340093912,0.5241171688302497,0.4560701700396552
0.21,-0.040959210583228975,0.5294926762705912,0.458257569495584
0.212,-0.04922059337469872,0.5317093034272209,0.4604345773288535
0.214,-0.05143164804387603,0.5406971883805581,0.4626013402488151
0.216,-0.049746247402452634,0.5371908594800163,0.46475800154489
0.218,-0.04577631131704362,0.5479212229818977,0.4669047011971501
0.22,-0.053094423292028736,0.5390065326421067,0.469041575982343
0.222,-0.060308817477518345,0.5415580715678214,0.47116875957558985
0.224,-0.05951988049238049,0.5420309884949199,0.4732863826479693
0.226,-0.05514527461124447,0.5510791414475473,0.4753945729601885
0.228,-0.04767142584826851,0.5544178578223647,0.4774934554525329
0.23,-0.042124608695245105,0.5581009108039147,0.47958315233127197
0.232,-0.04094957737568613,0.5575660553362685,0.48166378315169184
0.234,-0.045878256394293035,0.55580690871752,0.48373546489791297
0.23600000000000002,-0.04848061230290813,0.5601382294556285,0.4857983120596448
0.23800000000000002,-0.05118641930817373,0.5552345516020362,0.48785243670601874
0.24,-0.05709551358418253,0.5510473553496684,0.4898979485566356
0.242,-0.06597593814311672,0.5603411164720005,0.4919349550499537
0.244,-0.05896355032766005,0.5586143925969127,0.4939635614091388
0.246,-0.052649895155566825,0.5545278786734966,0.49598387070548977
0.248,-0.06380436189174708,0.5634742706364926,0.4979959839195493
0.25,-0.0642908660976972,0.5603668957767183,0.5
0.252,-0.06498014058781862,0.5628678373439814,0.5019960159204453
0.254,-0.06881482780775179,0.5731475780116958,0.5039841267341661
0.256,-0.07314547491603302,0.5848302207071342,0.5059644256269407
0.258,-0.0768556388650102,0.584927454234715,0.5079370039680118
0.26,-0.08079736451952356,0.5827340433566479,0.5099019513592785
0.262,-0.07948542925628638,0.5976213118098971,0.5118593556827891
0.264,-0.07197985808689793,0.596145020744298,0.5138093031466052
0.266,-0.06292806564710603,0.6019898868713444,0.5157518783291051
0.268,-0.07587628223145931,0.6034520834308524,0.5176871642217914
0.27,-0.0680010313697312,0.5973585096792979,0.5196152422706632
0.272,-0.0802784770651436,0.6060535975863527,0.521536192416212
0.274,-0.08626078373220065,0.5911575038074222,0.523450093132096
